CaseID,par_weight,teen_weight,xspanish,xprimelan,QS1,QS2,P1_A,P1_B,P1_C,P1_D,P1_E,P2_A,P2_B,P2_C,P2_D,P3,P4,P5,P6,P7_A,P7_B,P7_C,P8,P9,P10,P10_1,P11,P11_5,P12_A,P12_B,P12_C,P13_A,P13_B,P13_C,P13_D,P13_E,P14_F,P14_G,P14_H,P15_A,P15_B,P15_C,P15_D,P15_E,QS9,QS10_1,QS10_2,QS10_3,QS10_4,QS10_5,QS10_6,QS10_7,QS10_8,QS10_9,QS10_10,QS10_11,QS10_12,QS10_13,QS10_14,QS10_15,QS10_Refused,QS10_3_Specify,QS10_10_Specify,QS10_14_Specify,QS10_15_Specify,KINTMOB,K2,K3_A,K3_B,K3_C,K3_D,K3_E,K4,K5_A,K5_B,K5_C,K5_D,K5_E,K5_1_A,K5_1_B,K5_1_C,K6_1,K6_2,K6_3,K6_4,K6_5,K6_6,K6_7,K6_8,K7,K8,K8_Refused,KFB1A,KFB1B,KFB1C,K9,KF10_1,KF10_1_Specify,KF10_2,KF10_2_Specify,KF10_3,KF10_3_Specify,KFMEET,KFMEET2_1,KFMEET2_2,KFMEET2_3,KFMEET2_4,KFMEET2_5,KFMEET2_8,KFMEET2_Refused,KFMEET2_8_Specify,KFMEET3,KFR11_A,KFR11_B,KFR11_C,KFR11_D,KFR11_E,KFR11_F,KFR11_G,KFR11_H,KFR11_I,KGAME1,KGAME2,KGAME3_1,KGAME3_2,KGAME3_3,KGAME4,KGAME5_A,KGAME5_B,KGAME5_C,KGAME5_D,KF12,KF13_A,KF13_B,KF13_C,KF13_D,KF13_E,KF13_F,KF13_G,KF13_H,KF13_I,KF13_Specify,KF13_1,KF13_1_Specify,KF13_2,KF13_2_Specify,KF13_3,KF13_3_Specify,KFSNS1_A,KFSNS1_B,KFSNS1_C,KFSNS1_D,KFSNS1_E,KFSNS2_A,KFSNS2_B,KFSNS2_C,KFSNS2_D,KFSNS3_A,KFSNS3_B,KFSNS3_C,KF14,KFSNS4_A,KFSNS4_B,KFSNS4_C,KF15,KDATE1,DT1,DT1A,KR1,REL3,REL3_Refused,KR2,KDATE2_A,KDATE2_B,KDATE2_C,KDATE2_D,KDATE2_E,KDATE2_F,KDATE2_G,KDATE2_H,KDATE2_I,KDATE2_Specify,KR3_A,KR3_B,KR3_C,KR4_1,KR4_2,KR4_3,KR4_4,KR4_5,KR4_6,KR4_7,KR4_Refused,KR4_Specify,KR5,KR6_A,KR6_B,KR6_C,KR6_D,KR6_E,KR6_F,KR6_G,KR6_H,KR6_I,KR7_A,KR7_B,KR7_C,KR7_D,KR7_E,KR7_F,KR7_G,KR7_H,KR7_I,KR7_J,KR8,KR9,KRSNS1_A,KRSNS1_B,KRSNS1_C,KRSNS1_D,KRSNS2_A,KRSNS2_B,KRSNS2_C,KRSNS2_D,KRSNS2_E,KRSNS3_A,KRSNS3_B,KRSNS3_C,REL8_A,REL8_B,REL8_C,REL8_D,REL8_E,KR10_1,KR10_2,KR10_3,KR10_4,KR10_5,KR10_6,KR11_A,KR11_B,KR11_C,KR11_D,KR11_E,KR11_F,KR11_G,KR11_H,KR11_I,KR11_J,KR11_K,KR11_Refused,KR11_Specify,KR12_1,KR12_2,KR12_3,KR12_4,KR12_5,KR12_6,KR12_7,KR12_8,KR12_9,KR12_10,KR12_11,KR12_Refused,KR12_Specify,KR13_A,KR13_B,KR13_C,KR13_D,KR13_E,KR13_F,KRSNS4_A,KRSNS4_B,KRSNS4_C,KRCELL_D,KRCELL_E,DT2_A,DT2_B,DT2_C,DT2_D,DT2_E,DT2_F,DT2_G,DT2_H,DT2_I,DT4,DT4A,KRS,KSO,KSO_Specify,KTG,KEND,Teen_Ethn,Child_age,Child_gender,PPAGE,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET
1143, , ,1,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,49,14,4,1,1,0,4,1,12,1,1,2,4,1,43,0,0,0,1,3,2,1
1144, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51,11,3,5,1,1,4,1,14,1,1,3,7,1,74,0,0,0,1,3,1,1
1149,0.4753,0.8018,1,5,2,2,2,1,1,1,2,1,2,2,2,1,1,2, ,1,2,1,1, ,2, ,2, ,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1, , ,20, , ,-1,2, ,4, ,3, ,1, , , , , , , , , ,2,2,2,4,4,2,4, ,1,1,1,1,2,1,1,1,2,3,2,2,1,1,1,1,2,2,2,2,2, ,7, ,1, ,4, , , , , , , , , , , , , ,2,2,2,2,2,2, , , , , , , , ,2,2,2,2,2,2,2, ,2, , ,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4,2,1,14,1,52,9,2,1,1,1,5,1,12,1,1,2,3,1,31,0,0,0,2,3,1,1
1150,1.2294,1.4943,1,5,2,2,2,1,1,1,2,2,2,1,2,2,2,2, ,2,2,2, , ,2, ,2, ,3,1, ,1,2,3,1,2, , , ,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,5,2,2,1,1,1, ,1,2,2,2,1, , , ,2,2,2,1,1,1,2,2,5, , , , , ,1,2, ,6, ,3, ,1, , , , , , , , , ,1,3,4,2,2,3, , ,2,2,3,1,2,2,1,2,2,3,3,1,1,2,1,1,2,2,2,1,2, ,5, ,7, ,4, , , , , , , , , , , , , ,2, , , ,2,2, , , , , , , , ,2,2,2,2,2,1,2, ,2, , ,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,10,8,2,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4,2,1,13,1,52,10,3,1,1,1,5,1,15,1,1,1,2,1,21,0,0,1,2,2,1,1
1151, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,53,12,4,1,1,1,4,1,16,1,0,3,7,1,73,0,0,0,1,3,1,1
1152,0.716,0.8337,2,3,1,1,1,-1,1,2,1,1,2,1,1,2,2,2, ,1,1,2,1,2,2, ,1, ,2,2, ,2,2,1,2,1, , , ,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , , ,Hispanic,1,1,2,2,1,1,1, ,1,2,1,2,1, , , ,1,1,1,2,1,1,2,2,5, , ,800,913,836,2,3, ,5, ,1, ,4,1,0,0,0,0,0,0, ,2,3,4,1,1,3,3, ,2,4,5,5, , , , , , , , ,1,1,2,2,1,2,2,2,2,2, ,1, ,6, ,2, ,1,3,2,2,2,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1, , , ,1,1,1,1,1,2,1,1,2, ,1,1,1,0,0,0,0,1,1,0,0, ,2,3,3,4,1,3,4,2,4, ,1,1,1,2,1,2,1,2,2,1,1,1,3,2,1,3,2,2,2,2,3,1,1,1,1,1,1, , ,4,10,9,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0, ,0,1,1,0,0,0,0,0,0,0,0,0, ,2,2,2,1,2,2,1,1,1, , ,3,3,3,3,3,3,1,3,3, , ,2,2, ,4,2,4,17,2,46,9,2,4,2,0,5,2,9,1,1,4,9,2,93,0,0,0,1,4,7,1
1154,2.3976,2.2479,1,5,1,1,1,2,1,1,1,1,2,1,2,1,1,2, ,1,2,1,1, ,2, ,2, ,1,1,1,1,1,1,2,1,2,2,1,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,10,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1, , ,46, ,6,2,1, ,6, ,2, ,1, , , , , , , , , ,1,3,2,3,4,3,4,2, , , , , , , , , , , ,2,1,1,2,2,2,2,2,2,2, ,9, , , , , ,2,3,2,3,3,3,2,3,2,2,2,1,2,1,2,2,2,2, , , , , , ,2,2,2,2,2,2,2,2,2, ,2,2, ,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,16,2,46,5,1,1,2,1,3,1,15,1,0,2,4,1,42,0,0,0,1,2,1,1
1155,0.9041,1.6589,1,5,2,2,2,1,1,1,2,1,1,2,1,1,2,2, ,2,2,1, , ,2, ,1, ,3,1,1,1,1,3,2,1,2,2,1,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,2,2,2,1,1,2,2,20,1,2,2,1,2,3,3,3,2,2,2,2,2,2,2,2, , , , , , ,-1,6, ,1, ,2, ,4,0,0,0,1,0,0,0, ,2,1,1,1,1,4,1,4, ,4,5,2,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,2, ,7, ,6, ,8,in person, , , , , , , , , , , , ,1,1,1,1,1,1,2,2,1, , , , , ,1,2,2,1,2,1,1,made food from home,1, ,1,0,0,0,0,0,1,0,0, ,1,2,1,1,1,4,1, ,4,4,1,1,1,1,1,2,1,2,2,1,2,2, , , , , , , , , , , , ,1,1,2,1,2,5,10,9,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0, ,1,2,1,2,2,2, , , ,1,2,1,1,3,2,1,3,1,3,2, , ,3,2, ,4,2,1,14,2,45,10,3,1,2,1,8,1,9,3,1,4,9,1,93,0,0,0,2,6,2,1
1156,0.7249,0.4792,1,5,1,1,2,1,1,1,2,2,2,2,2,3,1,1,1,1,3,1, , ,2, ,2, ,2,2,1,2,2,2,1,2,2,2,2,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,2,1,1,1,2,360,1,2,1,2,1,1,3,3,1,1,2,1,2,2,1,1,8,"kik, oovoo, omegle", ,-99,-99, ,2,3, ,5, ,1, ,4,1,0,0,0,0,0,0, ,1,2,3,1,1,2,3,1,1,3,4,4,1,1,2,2,2,2,3,2,1,1,2,2,1,2,2,2,2,2, ,1, ,6, ,8,texting,1,3,2,3,2,2,1,3,2,1,2,3,2,1,1,1,1,1,1, ,3,www.facebook.com and www.kik.com, ,1,1,1,1,1,2,2,2,1,2, ,2,1,2,1,0,0,0,0,1,0,0, ,2,2,3,2,4,3,4,3,4,4,1,2,1,2,1,2,1,2,2,1,4,1,4,4,4,4,2,3,3,3,1,2,1,2,2,2,2,2,1,2,10,6,4,1,3,1,1,1,0,0,0,0,0,0,0,0,0, ,1,0,1,1,0,1,0,1,1,0,0,0, ,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,3, ,4,2,1,13,2,46,9,2,1,2,1,3,3,3,1,1,4,9,2,92,0,0,0,1,2,6,1
1157,1.0737,0.6962,1,5,1,1,1,2,1,1,1,1,2,1,2,2,1,2, ,2,2,1, , ,2, ,1, ,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,1,1,2,1,1,2,100,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,3, , , , ,604,2,3, ,1, ,5, ,2,0,0,0,0,0,1,0,Instagram,2,2,3,1,1,3,4,1,1,4,2,-1, , , , , , , , ,1,1,2,1,1,2,1,2,1,2, ,6, ,8,Snap chat,3, ,2,1,2,1,2,1,1,2,2,2,2,3,2,1,1,1,2,2, , , , , , ,1,2,2,2,2,2,2,2,2, ,2,2, ,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,3,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,13,2,44,14,4,1,1,1,4,1,15,1,1,4,9,1,91,0,0,2,0,2,1,1
1158,0.6292,0.7369,1,5,2,2,1,2,1,1,2,1,2,1,2,3,2,2, ,1,2,1,1, ,2, ,5,face to face,1,1,3,1,1,1,1,1,1,2,1,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,2,2,-98,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1, , ,-99, , ,4,7,name,3, ,1, ,1, , , , , , , , , ,2,3,3,4,4,4,4,3,4,4,5, , , , , , , , ,3,2,2,1,1,2,2,1,2,2, ,1, ,6, ,7, ,2,3,2,3,3,3,3,3,2,3,2,1,2,1,2,2,2,2, , , , , , ,2,2,2,2,2,2,2,2,2, ,2,2, ,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,5, ,4,2,1,13,2,45,11,3,1,1,0,4,1,7,1,1,2,3,3,32,0,0,0,2,2,4,1
1161, , ,1,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41,9,2,2,1,0,5,1,12,6,1,4,9,1,93,0,0,0,2,3,1,1
1162, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43,12,4,1,1,1,3,1,15,1,1,2,3,1,35,0,0,0,1,2,1,1
1164, , ,2,3,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51,3,1,4,1,0,5,2,5,1,1,4,9,2,93,0,0,2,1,2,4,1
1166, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,57,12,4,1,1,1,4,1,11,1,1,1,1,1,14,0,0,0,1,3,7,1
1167,0.7067,0.4138,1,5,1,1,2,2,1,2,2,2,2,2,2,2,1,2, ,2,2,1, , ,2, ,2, ,3,3,1,1,1,3,3,1,1,2,1,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,2,1,100,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3, , , , ,-99,1,1, ,2, ,6, ,1, , , , , , , , , ,2,3,1,4,4,3,4, , , , , , , , , , , , ,1,1,2,2,2,2,2,2,1,2, ,6, ,7, ,-1, , , , , , , , , , , , , ,1,2,2,2,2,2, , , , , , , , ,2,2,2,2,2,2,2, ,2, , ,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4,2,1,13,2,43,10,3,1,1,1,4,3,9,1,1,2,3,2,31,0,0,1,1,2,1,1
1168, , ,2,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33,8,1,4,2,0,9,1,1,6,1,4,9,1,93,0,1,2,0,6,1,1
1169, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,53,13,4,1,1,1,5,1,16,1,1,3,5,1,52,0,0,0,2,3,1,1
1170,0.958,0.7633,1,5,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2, ,1, ,2,2,2,2,1,1,1,2,2,2,2,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,2,1,1,2,1,50,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1, , ,-99,-99, ,2,6, ,5, ,4, ,3,1,0,1,1,1,0,0, ,1,3,2,1,2,1,1,2,3,2,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,2,1,2, ,1, ,6, ,4, ,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2, , , , , , ,1,1,1,1,2,1,2,1,2, ,2,1, ,1,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,3,4,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, ,4,2,1,15,1,47,11,3,1,1,1,3,1,13,1,0,3,6,1,62,0,0,0,1,2,1,1
1171,1.6846,1.162,1,5,1,1,1,2,1,1,1,1,1,1,2,1,1,2, ,1,1,1,1,1,2, ,2, ,1,1,2,1,1,1,1,2,2,1,2,2,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,30,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2, , ,-99,-99,-99,2,1, ,3, ,5, ,4,0,0,1,0,0,0,0, ,2,2,3,1,3,4,3,3,2,4,5,5, , , , , , , , ,2,2,2,2,1,2,1,2,1,2, ,6, ,7, ,1, ,3,2,3,3,3,2,2,3,2,2,2,2,1,1,1,2,2,2, , , , , , ,1,2,2,2,2,2,2,2,2, ,1,2, ,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,8,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,16,2,49,10,3,1,2,1,4,1,17,1,1,1,1,1,16,0,0,1,1,2,1,1
1173,1.6846,1.2789,1,5,14,1,1,2,1,1,2,1,2,1,2,2,1,2, ,2,2,1, , ,2, ,1, ,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,3,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , ,4,6, ,2, ,1, ,1, , , , , , , , , ,3,3,3,3,3,3,3, ,3,4,4,2,2,2,2,3,3,3,3,6,2,2,2,2,2,2,2,2,2, ,9, , , , , , , , , , , , , , , , , ,2,2,2,2,2,2, , , , , , , , ,2,2,2,2,2,2,2, ,2, , ,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1,-1,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4,2,1,14,2,47,10,3,1,2,1,3,1,18,1,1,1,2,1,22,0,0,0,1,2,1,1
1176,0.9711,1.9113,1,5,2,2,2,1,1,1,2,1,2,1,2,2,1,2, ,1,2,2,1, ,2, ,5,I call out for her with my voice,1,1, ,2,1,1,1,1, , , ,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,2,3,2,1,1,2,1,-98,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1, , ,-99, , ,2,2, ,6, ,3, ,1, , , , , , , , , ,3,2,4,2,3,3,4,1, , , , , , , , , , , ,5,2,2,2,1,2,2,2,2,2, ,8,telephone/landline,7, ,1, ,2,3,3,3,3,3,3,3,2,2,2,2,2,1,3,1,2,2, , , , , , ,1,1,1,1,2,2,2,1,2, ,1,2, ,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,10,6,5,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,17,2,46,9,2,1,2,1,5,2,9,1,1,3,5,1,52,0,1,0,2,2,7,1
1177, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,53,12,4,1,2,1,4,1,19,1,1,2,3,1,31,0,0,1,0,3,2,1
1179,1.8386,1.6969,2,3,1,1,1,2,1,1,1,2,2,2,2,2,1,2, ,1,1,1, ,1,2, ,2, ,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,1,1,2,1,1,2,100,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,3, , ,-99,-99,-99,1,1, ,3, ,5, ,1, , , , , , , , , ,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,3,2,1,1,2,2,1,2,1,2,1,2, ,1, ,6, ,7, ,3,3,3,3,3,3,2,3,3,2,2,2,2,1,1,1,2,2, , , , , , ,2,2,2,2,2,2,2,2,2, ,2,2, ,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, ,4,2,4,17,2,66,5,1,4,1,0,3,2,14,1,1,3,5,1,59,0,0,0,1,2,1,1
1183, , ,1,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48,11,3,1,2,1,6,1,17,1,1,3,6,1,62,1,0,0,0,5,1,1
1185, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,49,12,4,1,1,1,9,1,16,1,0,2,3,1,35,0,0,3,4,2,1,1
