"Body","Face","Fidelity","Intelligence","Kindness","Senseofhumor","Sensitivity","Sexualskill","Sharedvalues","Wealth","sum","physicalattractiveness","socialattractiveness","sexpartners","politicalorientation_1extremelyliberal_7extremelyconservative","Sex_Female_0_Male1","Age","Relationship_Yes1_No0","CRT1","CRT2","CRT3","CRT4","CRT5","CRT6","crttotal"
0,0,100,100,50,100,0,100,50,0,500,0,62.5,7,1,0,21,0,0,0,0,0,0,0,0
60,50,75,75,30,75,30,30,75,0,500,55,52.5,17,1,1,22,0,1,1,1,1,1,1,6
45,50,90,55,90,50,30,30,40,20,500,47.5,56.25,1,3,0,29,1,0,0,1,0,0,1,2
30,30,64,55,54,63,50,49,50,55,500,30,55.5,6,4,0,21,0,0,1,0,1,1,1,4
40,30,70,70,70,40,40,50,20,70,500,35,55,7,4,0,21,0,0,1,1,1,1,1,5
10,10,10,100,70,100,30,20,50,100,500,10,75,10,1,0,21,1,0,0,0,0,1,0,1
30,50,50,70,70,50,40,30,50,60,500,40,57.5,5,3,0,21,1,0,1,0,1,1,1,4
20,60,60,90,100,50,30,20,20,50,500,40,67.5,15,1,0,20,0,1,0,1,1,1,1,5
40,45,55,95,90,60,40,10,45,20,500,42.5,71.25,5,3,0,21,0,1,0,1,1,1,1,5
35,40,60,90,95,65,45,40,0,30,500,37.5,73.75,4,4,0,21,1,1,1,1,0,1,0,4
30,35,70,85,50,45,20,55,100,10,500,32.5,50,8,4,0,20,1,1,0,0,1,1,1,4
30,30,0,100,100,80,10,90,60,0,500,30,72.5,12,2,0,20,1,0,1,1,1,0,1,4
50,50,50,70,90,70,10,70,30,10,500,50,60,7,3,1,23,1,1,1,1,1,0,1,5
80,15,60,60,70,50,50,50,50,15,500,47.5,57.5,10,2,1,20,1,1,1,1,1,1,1,6
100,100,40,80,50,50,20,20,20,20,500,100,50,13,3,1,22,0,1,0,1,0,1,1,4
70,70,50,60,50,70,15,100,15,0,500,70,48.75,20,2,1,22,1,1,1,1,1,1,1,6
25,100,50,50,25,100,45,25,55,25,500,62.5,55,20,2,1,22,0,0,0,0,0,0,0,0
80,80,60,40,50,50,50,50,30,10,500,80,47.5,20,2,1,22,0,1,1,1,1,1,1,6
80,80,50,50,50,40,20,80,40,10,500,80,40,20,2,1,19,0,0,1,1,1,1,0,4
90,70,60,40,30,50,30,90,30,10,500,80,37.5,25,3,1,20,0,1,1,0,1,1,1,5
70,70,30,70,50,60,30,70,20,30,500,70,52.5,35,4,1,20,0,1,1,1,1,1,1,6
30,40,60,60,70,70,50,20,60,40,500,35,62.5,3,1,0,20,0,1,1,1,1,1,1,6
70,60,40,55,65,45,65,60,30,10,500,65,57.5,20,3,1,22,0,1,1,1,1,1,1,6
50,50,20,100,20,100,20,40,90,10,500,50,60,10,4,0,22,1,1,1,1,1,1,0,5
30,50,60,60,30,70,30,30,80,60,500,40,47.5,50,2,0,21,0,1,1,1,1,1,1,6
0,60,80,75,60,20,0,65,80,60,500,30,38.75,12,2,0,21,0,0,1,1,1,1,1,5
30,60,50,50,60,60,60,50,50,30,500,45,57.5,5,2,0,22,1,1,1,1,1,1,1,6
10,10,100,80,80,80,10,10,70,50,500,10,62.5,2,3,0,22,1,1,1,1,1,1,1,6
40,60,50,40,60,40,50,50,50,60,500,50,47.5,3,4,0,21,1,0,1,1,0,1,1,4
60,65,60,65,50,40,40,50,40,30,500,62.5,48.75,15,2,1,21,1,1,1,1,1,1,1,6
90,90,90,90,50,0,10,70,10,0,500,90,37.5,1000,3,1,20,0,1,1,1,1,1,1,6
80,80,20,60,60,20,20,50,60,50,500,80,40,10,3,1,20,0,1,0,1,0,1,1,4
40,60,80,60,80,70,20,20,70,0,500,50,57.5,15,2,1,19,0,1,1,1,1,1,1,6
50,50,70,40,60,60,20,30,90,30,500,50,45,7,2,0,21,1,1,1,1,0,1,1,5
60,60,80,50,50,50,20,50,80,0,500,60,42.5,30,4,1,23,0,0,0,0,0,1,1,2
56,64,57,67,48,63,18,53,74,0,500,60,49,8,2,0,20,0,1,1,1,1,1,1,6
50,50,30,70,75,35,50,40,75,25,500,50,57.5,5,2,0,21,0,1,1,1,1,1,1,6
10,10,90,80,80,90,70,40,10,20,500,10,80,3,2,0,20,0,1,0,1,0,1,1,4
40,30,70,50,100,50,30,50,50,30,500,35,57.5,1,2,0,19,0,1,1,0,1,1,0,4
40,40,60,50,70,80,50,60,50,0,500,40,62.5,1,2,0,21,0,0,1,1,1,1,1,5
25,25,50,100,100,25,75,25,75,0,500,25,75,8,2,0,21,1,0,1,0,1,1,0,3
25,25,50,100,100,60,40,25,75,0,500,25,75,4,4,0,21,0,1,1,1,1,1,1,6
25,50,25,100,75,75,10,65,75,0,500,37.5,65,3,3,0,21,1,0,0,1,0,1,1,3
80,80,30,50,60,50,20,70,40,20,500,80,45,20,3,1,20,0,1,1,1,1,1,1,6
75,0,100,75,75,50,50,0,75,0,500,37.5,62.5,1,3,1,19,1,0,0,1,1,1,1,4
50,50,70,60,50,70,40,50,30,30,500,50,55,1,4,1,19,1,0,0,0,0,1,0,1
60,70,60,70,70,30,50,40,50,0,500,65,55,6,3,1,20,0,1,1,1,1,1,1,6
60,65,80,75,65,55,40,10,50,0,500,62.5,58.75,6,2,1,21,1,0,1,1,1,1,1,5
50,50,60,80,70,50,30,40,40,30,500,50,57.5,1,4,0,21,0,1,1,1,1,1,1,6
40,50,70,60,80,40,10,30,90,30,500,45,47.5,3,2,1,22,1,1,1,1,1,1,1,6
10,30,60,70,65,40,75,20,100,30,500,20,62.5,5,3,0,22,1,1,1,1,1,1,1,6
15,35,55,65,95,45,85,5,75,25,500,25,72.5,1,3,1,20,0,1,1,1,1,1,1,6
40,60,50,70,60,80,10,40,50,40,500,50,55,10,3,0,22,0,1,0,1,0,0,1,3
20,70,80,80,80,10,10,80,60,10,500,45,45,5,3,0,22,1,0,0,0,0,0,0,0
40,40,50,80,50,40,30,30,80,60,500,40,50,2,3,0,22,1,1,1,1,1,1,1,6
30,30,100,75,50,50,50,25,40,50,500,30,56.25,4,3,0,22,1,1,1,0,1,1,1,5
50,60,50,70,80,80,30,30,50,0,500,55,65,15,3,0,19,0,1,0,1,0,0,1,3
50,50,50,60,65,20,70,50,50,35,500,50,53.75,8,1,0,19,1,1,0,1,0,1,1,4
50,60,50,60,60,60,30,35,60,35,500,55,52.5,1,3,0,20,1,1,0,1,0,1,1,4
50,50,70,70,80,30,40,30,70,10,500,50,55,10,4,0,20,1,1,0,1,0,1,1,4
50,50,70,30,50,50,70,50,50,30,500,50,50,15,3,1,25,1,1,1,1,1,1,1,6
75,80,50,60,50,50,35,30,35,35,500,77.5,48.75,10,2,1,25,1,1,1,1,1,1,1,6
90,90,10,70,50,20,10,100,50,10,500,90,37.5,50,2,1,18,0,1,1,1,1,1,1,6
70,80,20,80,50,70,5,100,10,15,500,75,51.25,40,2,1,19,0,1,1,1,1,1,1,6
75,75,100,25,25,50,25,50,75,0,500,75,31.25,20,3,1,19,0,1,1,1,1,1,1,6
80,90,50,60,40,50,10,60,10,50,500,85,40,30,3,1,18,0,0,1,1,1,1,1,5
35,35,70,65,40,35,40,30,90,60,500,35,45,1,2,0,33,1,1,1,1,1,1,1,6
40,40,50,60,60,50,50,30,70,50,500,40,55,7,2,0,34,1,1,1,1,1,1,1,6
50,50,60,50,50,50,30,40,60,60,500,50,45,5,1,0,35,1,1,1,1,1,1,1,6
40,40,60,60,60,50,35,35,70,50,500,40,51.25,4,3,0,27,1,1,1,1,1,1,1,6
70,90,55,40,60,65,5,45,20,50,500,80,42.5,8,2,0,22,0,1,1,1,0,1,1,5
40,50,60,25,45,45,30,60,45,100,500,45,36.25,15,1,0,21,0,1,0,1,0,1,1,4
30,30,70,60,70,50,60,20,70,40,500,30,60,4,3,0,22,1,1,1,1,1,1,1,6
90,90,50,30,40,60,20,55,25,40,500,90,37.5,12,2,0,22,0,1,1,1,1,1,1,6
75,80,50,60,50,50,35,30,35,35,500,77.5,48.75,5,2,1,25,1,0,1,1,1,1,0,4
55,55,80,50,45,60,30,35,60,30,500,55,46.25,3,2,1,21,0,1,0,1,1,1,1,5
65,50,50,85,55,35,30,50,65,15,500,57.5,51.25,8,3,1,20,1,1,1,1,1,1,1,6
65,60,55,60,70,70,35,30,25,30,500,62.5,58.75,10,3,1,26,1,1,1,1,1,1,1,6
90,70,30,30,80,60,10,50,60,20,500,80,45,12,2,1,21,0,1,0,1,0,1,1,4
70,80,50,40,60,60,20,60,50,10,500,75,45,20,4,1,20,0,1,1,1,1,1,1,6
75,75,50,45,40,50,15,60,60,30,500,75,37.5,15,3,1,21,0,1,1,1,1,1,1,6
70,70,60,50,70,65,25,40,40,10,500,70,52.5,10,3,1,21,0,1,1,1,1,1,1,6
40,55,60,85,70,60,25,40,65,0,500,47.5,60,8,1,0,25,0,1,1,1,1,1,1,6
25,50,50,75,90,75,35,35,50,15,500,37.5,68.75,5,1,0,22,1,1,0,1,0,1,1,4
50,50,70,70,70,50,10,50,60,20,500,50,50,3,1,0,24,1,1,1,1,1,1,1,6
50,60,20,90,20,50,20,50,50,90,500,55,45,5,3,0,24,0,1,1,1,1,1,1,6
60,70,20,80,60,60,30,50,70,0,500,65,57.5,5,3,0,20,0,1,1,1,1,1,1,6
60,50,60,60,60,50,10,40,60,50,500,55,45,3,2,0,20,0,1,1,1,1,1,1,6
50,70,30,90,30,50,30,20,60,70,500,60,50,2,3,0,20,0,1,0,1,0,1,1,4
60,80,80,60,80,50,20,10,60,0,500,70,52.5,5,2,1,21,0,1,1,1,1,1,1,6
80,60,50,40,50,30,20,50,20,100,500,70,35,15,3,1,20,0,1,1,1,0,1,1,5
40,60,100,70,30,50,0,50,50,50,500,50,37.5,3,2,0,24,1,1,1,1,1,1,1,6
50,50,100,50,40,30,20,50,40,70,500,50,35,10,2,0,21,1,1,1,1,1,1,1,6
50,50,50,100,50,100,0,50,50,0,500,50,62.5,3,2,0,32,1,1,1,1,1,1,1,6
50,100,25,100,25,50,0,50,50,50,500,75,43.75,4,2,0,27,0,1,1,1,1,1,1,6
70,70,50,55,55,50,0,60,60,30,500,70,40,3,1,0,21,0,1,0,1,1,1,1,5
50,50,50,50,50,50,50,50,50,50,500,50,50,5,2,0,22,0,1,1,1,1,1,1,6
20,60,60,60,60,50,40,60,60,30,500,40,52.5,8,3,0,21,1,1,1,1,1,1,1,6
