ID,Sex,Sexuality2,Transgender2,Parent_Metro2,Parent_Rent2,Parent_Internet2,Child_Gen2,Child_Age,Household_Size
92,2,Straight,No,Non-metro,Own,Yes,Male,13.0,4.0
95,2,Straight,No,Metro,Own,Yes,Male,13.0,4.0
97,1,Straight,No,Metro,Rent,Yes,Male,15.0,6.0
98, ,,,Metro,Own,Yes,,,3.0
101,1,,Yes,Metro,Own,Yes,Female,16.0,3.0
102,2,Straight,No,Metro,Own,Yes,Female,13.0,5.0
104,2,Straight,No,Metro,Rent,Yes,Male,15.0,5.0
105, ,,,Metro,Own,Yes,,,3.0
106, ,,,Metro,Own,Yes,,,3.0
107, ,,,Metro,Own,Yes,,,7.0
108, ,Straight,No,Metro,Own,Yes,Male,16.0,5.0
110, ,Straight,No,Metro,Rent,Yes,Female,17.0,3.0
111, ,Straight,No,Metro,Own,Yes,Male,16.0,3.0
112, ,,,Metro,Own,Yes,,,6.0
113, ,,,Metro,Own,Yes,,,3.0
116, ,Straight,No,Non-metro,Own,Yes,Male,13.0,3.0
117,2,Straight,No,Metro,Own,Yes,Male,15.0,4.0
118, ,Straight,No,Metro,Own,Yes,Male,15.0,3.0
119, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
120, ,Straight,No,Metro,Rent,Yes,Female,13.0,5.0
121,1,Straight,No,Metro,Rent,Yes,Female,17.0,5.0
122, ,,,Metro,Own,Yes,,,5.0
123, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
124, ,Straight,No,Metro,Own,Yes,Male,14.0,6.0
125, ,,,Metro,Own,Yes,,,5.0
126, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
127,2,Straight,No,Metro,Own,Yes,Female,15.0,4.0
128, ,,,Metro,Rent,Yes,,,4.0
129,2,Straight,No,Metro,Rent,Yes,Female,14.0,6.0
131, ,Straight,No,Metro,Own,Yes,Male,16.0,4.0
132, ,Straight,No,Metro,Own,Yes,Male,13.0,3.0
133,2,Straight,No,Metro,Own,Yes,Male,17.0,7.0
135, ,Straight,No,Metro,Rent,Yes,Female,15.0,4.0
136, ,Straight,No,Metro,Own,Yes,Female,14.0,6.0
138, ,,,Non-metro,Own,Yes,,,7.0
139, ,,,Metro,Own,Yes,,,4.0
140,2,Straight,No,Metro,Rent,Yes,Male,16.0,5.0
141,2,Straight,No,Metro,Own,Yes,Female,14.0,6.0
142,1,Bisexual,No,Metro,Own,Yes,Female,14.0,5.0
143, ,,,Metro,Own,Yes,,,7.0
144, ,Straight,No,Metro,Own,Yes,Female,14.0,5.0
145, ,Straight,No,Metro,Rent,Yes,Female,13.0,2.0
146,2,Straight,No,Metro,Own,Yes,Male,17.0,3.0
147,2,Straight,No,Metro,Rent,Yes,Male,14.0,5.0
148, ,,,Metro,Own,No,,,3.0
149,2,Straight,No,Metro,Rent,Yes,Male,13.0,4.0
150, ,Straight,No,Metro,Own,Yes,Male,14.0,4.0
151, ,Straight,No,Metro,Own,Yes,Male,13.0,5.0
152, ,Straight,No,Metro,Own,Yes,Female,16.0,4.0
153, ,Straight,No,Metro,Own,Yes,Male,13.0,3.0
154, ,,,Metro,Own,Yes,,,4.0
155, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
157,2,Straight,No,Non-metro,Own,Yes,Male,16.0,4.0
158,1,Straight,No,Non-metro,Rent,Yes,Female,16.0,4.0
159, ,,,Non-metro,Own,Yes,,,4.0
160, ,Straight,,Metro,Own,Yes,Male,15.0,4.0
161,2,Straight,No,Metro,Own,Yes,Female,16.0,6.0
163, ,Straight,No,Metro,Rent,Yes,Female,14.0,5.0
165,,,,,,,,,
we heart it,,,,,,,,,
166, ,Straight,No,Non-metro,Rent,Yes,Female,15.0,4.0
168,2,Straight,No,Metro,Rent,Yes,Male,14.0,3.0
171,2,Straight,No,Metro,Own,Yes,Male,15.0,4.0
172, ,,,Metro,Own,Yes,,,6.0
174,2,Straight,,Metro,Own,Yes,Female,16.0,3.0
175, ,Straight,No,Metro,Own,Yes,Male,15.0,4.0
177, ,Straight,No,Metro,Own,Yes,Male,15.0,4.0
178, ,,,Non-metro,Own,Yes,,,5.0
179, ,Straight,No,Metro,Own,Yes,Female,14.0,5.0
180, ,,,Metro,Own,Yes,,,6.0
181, ,,,Metro,Own,Yes,,,7.0
182,2,Straight,No,Metro,Own,Yes,Male,14.0,3.0
183, ,,,Metro,Own,Yes,,,4.0
184, ,,,Metro,Own,Yes,,,4.0
185, ,Straight,No,Metro,Own,Yes,Female,14.0,4.0
187, ,Straight,No,Metro,Rent,Yes,Female,13.0,4.0
188, ,,,Metro,Own,Yes,,,2.0
189, ,,,Metro,Own,Yes,,,7.0
190, ,Straight,No,Non-metro,Own,Yes,Female,16.0,5.0
191, ,,,Metro,Own,Yes,,,5.0
192, ,,,Metro,Own,Yes,,,4.0
194,2,Straight,No,Metro,Own,Yes,Female,16.0,4.0
195, ,Straight,No,Metro,Rent,Yes,Female,14.0,5.0
196,1,Straight,No,Metro,Own,Yes,Female,17.0,5.0
198,1,Straight,No,Non-metro,Own,Yes,Male,17.0,4.0
199, ,,,Metro,Own,Yes,,,3.0
200, ,,,Metro,Own,Yes,,,2.0
201, ,Straight,No,Metro,Own,Yes,Male,14.0,4.0
203, ,,,Metro,Own,Yes,,,4.0
204,2,Straight,Yes,Metro,Own,Yes,Female,14.0,5.0
206, ,,,Non-metro,Own,Yes,,,3.0
207,1,Bisexual,No,Metro,Own,Yes,Female,17.0,1.0
208,2,Straight,No,Metro,Own,Yes,Male,15.0,5.0
210, ,Straight,,Metro,Own,Yes,Female,14.0,7.0
211, ,Straight,No,Non-metro,Own,Yes,Male,13.0,4.0
212, ,Straight,No,Metro,Own,Yes,Male,16.0,4.0
213, ,,,Metro,Rent,Yes,,,4.0
214,2,Straight,No,Metro,Own,Yes,Female,16.0,3.0
215, ,Straight,No,Metro,Own,Yes,Female,13.0,4.0
216, ,Straight,No,Metro,Own,Yes,Female,16.0,3.0
217, ,Straight,No,Metro,Rent,Yes,Female,17.0,3.0
218, ,Straight,No,Metro,Own,Yes,Female,16.0,3.0
219, ,,,Metro,Rent,Yes,,,3.0
220, ,Straight,No,Metro,Neither,Yes,Male,15.0,5.0
221,2,Straight,No,Metro,Own,Yes,Male,17.0,5.0
222,2,Straight,No,Metro,Rent,Yes,Male,17.0,9.0
223,2,Straight,No,Non-metro,Own,Yes,Male,16.0,7.0
225, ,,,Metro,Own,Yes,,,3.0
226,2,Straight,No,Metro,Own,Yes,Female,15.0,3.0
227, ,Straight,No,Metro,Own,Yes,Male,13.0,5.0
228, ,,,Metro,Rent,Yes,,,3.0
229,2,Straight,No,Metro,Rent,Yes,Male,14.0,4.0
230, ,Straight,No,Metro,Own,Yes,Female,17.0,3.0
231, ,Straight,No,Metro,Own,Yes,Male,16.0,5.0
232, ,Straight,No,Metro,Own,Yes,Female,14.0,3.0
233, ,Straight,No,Metro,Own,Yes,Female,14.0,4.0
234,2,Straight,No,Metro,Own,Yes,Male,13.0,4.0
235, ,Straight,No,Non-metro,Own,Yes,Male,17.0,3.0
236, ,Straight,No,Non-metro,Own,Yes,Female,15.0,4.0
238, ,,,Non-metro,Own,Yes,,,3.0
239,1,Straight,No,Metro,Own,Yes,Male,15.0,4.0
240, ,Straight,,Non-metro,Neither,Yes,Female,16.0,5.0
242, ,Straight,No,Metro,Rent,Yes,Female,16.0,3.0
243, ,,,Metro,Own,Yes,,,3.0
244,2,Straight,No,Metro,Own,Yes,Male,16.0,5.0
245, ,Not sure,No,Metro,Rent,Yes,Female,14.0,3.0
246, ,,,Metro,Own,Yes,,,3.0
247, ,Straight,No,Metro,Own,Yes,Male,14.0,3.0
248, ,Straight,No,Non-metro,Own,Yes,Male,15.0,7.0
249,1,Straight,No,Non-metro,Rent,Yes,Female,16.0,2.0
251, ,Straight,No,Metro,Rent,Yes,Female,17.0,3.0
252, ,Straight,No,Metro,Rent,Yes,Female,15.0,5.0
254, ,Straight,No,Metro,Own,Yes,Male,17.0,4.0
255, ,,,Metro,Own,Yes,,,4.0
257, ,Straight,No,Metro,Own,Yes,Male,15.0,5.0
258, ,Straight,No,Metro,Own,Yes,Male,15.0,3.0
259, ,,,Metro,Rent,Yes,,,4.0
260,2,Straight,No,Metro,Own,Yes,Female,16.0,5.0
261,1,Straight,No,Metro,Rent,Yes,Female,14.0,4.0
263, ,,,Metro,Rent,Yes,,,5.0
264, ,,,Metro,Own,Yes,,,3.0
265,1,Straight,No,Metro,Own,Yes,Female,17.0,5.0
266, ,,,Metro,Neither,No,,,4.0
268,2,Straight,No,Metro,Own,Yes,Male,13.0,4.0
269, ,Straight,,Metro,Own,Yes,Female,13.0,4.0
270, ,Straight,No,Metro,Own,Yes,Female,17.0,4.0
271,2,Straight,No,Metro,Own,Yes,Male,16.0,4.0
273, ,Straight,No,Metro,Own,Yes,Female,17.0,4.0
274,2,Straight,No,Metro,Own,Yes,Female,17.0,4.0
275, ,Straight,No,Metro,Own,Yes,Female,14.0,4.0
276, ,Straight,No,Metro,Own,Yes,Male,15.0,5.0
278, ,Straight,No,Metro,Neither,Yes,Female,17.0,3.0
279,2,Straight,No,Metro,Own,Yes,Female,15.0,4.0
280, ,,,Metro,Rent,Yes,,,4.0
281, ,,,Metro,Own,Yes,,,3.0
282, ,,,Metro,Own,Yes,,,6.0
283,2,Straight,No,Metro,Own,Yes,Female,15.0,4.0
284, ,,,Metro,Own,Yes,,,4.0
285, ,Straight,No,Non-metro,Own,Yes,Male,17.0,4.0
286, ,,,Metro,Own,Yes,,,4.0
287, ,Straight,No,Metro,Own,Yes,Male,15.0,4.0
288,2,Straight,No,Metro,Own,Yes,Female,16.0,5.0
290, ,Straight,No,Metro,Own,Yes,Male,15.0,9.0
291, ,,,Non-metro,Rent,Yes,,,2.0
292, ,,,Metro,Rent,Yes,,,1.0
293,1,Straight,No,Metro,Rent,Yes,Male,17.0,4.0
294,2,Straight,No,Non-metro,Own,Yes,Female,15.0,4.0
295, ,Straight,No,Non-metro,Own,Yes,Male,13.0,4.0
296, ,,,Non-metro,Own,Yes,,,5.0
298, ,Straight,Yes,Metro,Own,Yes,Female,13.0,5.0
299, ,Straight,No,Metro,Own,Yes,Male,14.0,6.0
300, ,,,Metro,Own,Yes,,,6.0
301, ,,,Metro,Own,Yes,,,5.0
302, ,Straight,No,Metro,Own,Yes,Male,15.0,2.0
303,1,Straight,No,Metro,Own,Yes,Female,17.0,3.0
306,2,Straight,No,Metro,Own,Yes,Male,16.0,3.0
307, ,Straight,No,Metro,Own,Yes,Female,13.0,5.0
308, ,,,Metro,Own,Yes,,,4.0
309, ,Straight,No,Metro,Own,Yes,Male,17.0,3.0
310, ,,,Metro,Own,Yes,,,4.0
311, ,Straight,No,Metro,Rent,Yes,Female,14.0,4.0
312, ,Straight,No,Non-metro,Own,Yes,Female,13.0,6.0
313, ,Straight,No,Metro,Rent,Yes,Male,15.0,4.0
315, ,Straight,No,Metro,Own,Yes,Male,14.0,5.0
316,2,Straight,No,Metro,Own,Yes,Male,16.0,4.0
317, ,,,Metro,Own,Yes,,,3.0
318, ,Straight,No,Metro,Own,Yes,Male,14.0,4.0
319, ,Something else,No,Metro,Rent,Yes,Female,16.0,3.0
322, ,,,Metro,Own,Yes,,,4.0
323, ,Straight,No,Metro,Own,Yes,Female,17.0,4.0
324,1,Straight,No,Metro,Own,Yes,Male,17.0,3.0
327, ,Straight,No,Non-metro,Own,Yes,Female,17.0,10.0
328, ,Straight,No,Non-metro,Own,Yes,Female,15.0,7.0
329, ,,,Metro,Own,Yes,,,5.0
330, ,,,Metro,Own,Yes,Male,13.0,4.0
331, ,,,Metro,Own,Yes,,,5.0
332, ,Straight,No,Metro,Own,Yes,Male,13.0,6.0
333, ,Straight,,Non-metro,Own,Yes,Female,14.0,4.0
334,2,Straight,No,Metro,Own,Yes,Male,17.0,6.0
335, ,,,Metro,Rent,No,,,3.0
336, ,,,Metro,Own,Yes,,,2.0
337, ,,,Metro,Own,Yes,,,8.0
338, ,Straight,No,Metro,Own,Yes,Female,17.0,5.0
339, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
340,2,Straight,No,Metro,Own,Yes,Female,17.0,4.0
342, ,,,Metro,Rent,Yes,Male,16.0,4.0
344, ,,,Metro,Own,Yes,,,5.0
345, ,,,Non-metro,Own,Yes,,,4.0
347, ,,,Metro,Own,Yes,,,4.0
348, ,,,Metro,Own,Yes,,,7.0
349, ,Straight,No,Metro,Own,Yes,Female,16.0,5.0
350, ,Straight,No,Metro,Own,Yes,Female,17.0,4.0
351, ,Straight,No,Metro,Neither,Yes,Female,14.0,4.0
352, ,,,Metro,Own,Yes,,,3.0
353, ,,,Metro,Own,Yes,,,3.0
354, ,Straight,No,Non-metro,Own,Yes,Male,13.0,4.0
355, ,Straight,No,Metro,Own,Yes,Female,14.0,3.0
357, ,,,Metro,Rent,No,,,3.0
358, ,,,Non-metro,Own,Yes,,,3.0
359, ,Not sure,Yes,Metro,Neither,Yes,Male,16.0,4.0
361, ,Straight,No,Non-metro,Own,Yes,Male,15.0,4.0
362,2,Straight,No,Metro,Own,Yes,Female,15.0,3.0
363, ,,,Metro,Rent,Yes,,,3.0
364, ,Straight,No,Metro,Rent,Yes,Female,17.0,3.0
365,1,Straight,No,Non-metro,Rent,Yes,Male,17.0,4.0
367, ,Straight,No,Metro,Own,Yes,Male,13.0,5.0
369,2,Straight,No,Metro,Rent,Yes,Male,14.0,5.0
371, ,,,Non-metro,Rent,Yes,,,6.0
372, ,Straight,No,Metro,Rent,Yes,Male,14.0,6.0
374, ,,,Metro,Neither,Yes,,,4.0
375, ,Straight,No,Non-metro,Own,Yes,Female,16.0,4.0
376, ,Straight,No,Metro,Rent,Yes,Male,13.0,3.0
377, ,,,Metro,Rent,Yes,,,6.0
379, ,,,Metro,Rent,Yes,,,3.0
380, ,,,Metro,Own,Yes,Male,13.0,4.0
381, ,Straight,No,Metro,Rent,Yes,Female,17.0,6.0
382,1,Straight,No,Metro,Own,Yes,Male,17.0,3.0
383, ,,,Metro,Own,Yes,,,3.0
384, ,Not sure,No,Metro,Own,Yes,Female,17.0,4.0
385,2,Straight,No,Metro,Rent,Yes,Female,17.0,3.0
388, ,,,Metro,Own,Yes,,,4.0
389, ,,,Metro,Rent,Yes,,,3.0
390,2,Straight,No,Metro,Own,Yes,Female,17.0,5.0
392,1,Straight,No,Non-metro,Own,Yes,Female,16.0,4.0
393, ,,,Metro,Own,Yes,,,4.0
394, ,Straight,No,Metro,Own,Yes,Female,15.0,3.0
395, ,,,Metro,Own,Yes,,,4.0
396,2,Straight,No,Metro,Rent,Yes,Female,15.0,7.0
398, ,Straight,No,Metro,Own,Yes,Female,14.0,3.0
399,1,Straight,No,Metro,Own,Yes,Female,17.0,4.0
400,2,Bisexual,No,Metro,Neither,Yes,Female,15.0,4.0
401, ,,,Metro,Own,Yes,,,2.0
403, ,,,Metro,Own,Yes,,,5.0
404, ,Straight,No,Metro,Own,Yes,Female,15.0,4.0
405, ,Straight,No,Metro,Own,Yes,Female,17.0,7.0
406, ,Straight,No,Metro,Rent,Yes,Female,14.0,6.0
408, ,Straight,,Metro,Own,Yes,Male,17.0,6.0
409, ,Straight,No,Metro,Rent,Yes,Female,14.0,2.0
410, ,Straight,No,Non-metro,Own,Yes,Male,14.0,8.0
413, ,,,Metro,Own,Yes,,,4.0
415, ,,,Metro,Own,Yes,,,4.0
416, ,,,Metro,Own,Yes,,,3.0
417, ,Straight,No,Metro,Own,Yes,Male,15.0,6.0
421, ,Straight,No,Metro,Own,Yes,Female,13.0,4.0
422,2,Straight,No,Metro,Rent,Yes,Female,16.0,4.0
424, ,Straight,No,Metro,Own,Yes,Female,15.0,3.0
425, ,Straight,No,Metro,Own,Yes,Male,15.0,4.0
427,1,Straight,No,Metro,Own,Yes,Female,15.0,5.0
429, ,Straight,No,Metro,Rent,Yes,Male,13.0,5.0
430,2,Straight,No,Metro,Own,Yes,Male,17.0,4.0
432, ,,,Metro,Own,Yes,,,5.0
433, ,Not sure,No,Metro,Own,Yes,Female,17.0,4.0
435, ,Straight,No,Metro,Own,Yes,Female,13.0,5.0
438, ,Straight,No,Metro,Own,Yes,Female,17.0,3.0
439,2,Straight,No,Metro,Own,Yes,Male,16.0,4.0
441,2,Straight,No,Non-metro,Own,Yes,Female,14.0,5.0
442, ,Straight,No,Metro,Rent,Yes,Male,13.0,5.0
443, ,,,Metro,Own,Yes,,,4.0
444, ,Straight,No,Metro,Own,Yes,Female,14.0,4.0
445, ,Straight,Yes,Non-metro,Own,Yes,Female,16.0,5.0
446, ,,,Metro,Own,Yes,,,4.0
448,2,Straight,No,Metro,Own,Yes,Male,16.0,3.0
449, ,,,Metro,Own,Yes,,,3.0
452,2,Straight,No,Metro,Rent,Yes,Female,13.0,7.0
453, ,,,Metro,Own,Yes,,,3.0
454, ,Straight,No,Non-metro,Own,Yes,Female,14.0,4.0
455,-1,Straight,No,Metro,Own,Yes,Female,17.0,4.0
457, ,Straight,No,Non-metro,Own,Yes,Female,13.0,5.0
458,2,Straight,No,Metro,Own,Yes,Male,17.0,4.0
459, ,Straight,No,Non-metro,Own,Yes,Male,14.0,4.0
461, ,,,Metro,Own,Yes,,,4.0
462, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
463,2,Bisexual,No,Metro,Own,Yes,Female,13.0,5.0
464,1,Straight,No,Metro,Own,Yes,Female,16.0,3.0
465, ,,,Metro,Own,Yes,,,5.0
466, ,,,Metro,Own,Yes,,,4.0
467,1,Straight,No,Metro,Own,Yes,Female,17.0,3.0
468,1,Straight,No,Metro,Own,Yes,Male,16.0,4.0
470, ,Straight,No,Metro,Own,Yes,Male,13.0,3.0
471, ,Straight,No,Metro,Own,Yes,Female,14.0,4.0
472, ,Straight,No,Metro,Own,Yes,Male,13.0,3.0
473,1,Bisexual,No,Metro,Own,Yes,Female,16.0,4.0
474,2,Straight,No,Metro,Own,Yes,Female,13.0,3.0
476, ,,,Metro,Own,Yes,Male,14.0,4.0
477, ,Straight,No,Metro,Rent,Yes,Female,14.0,7.0
478, ,,,Metro,Own,Yes,,,5.0
479, ,Straight,No,Metro,Own,Yes,Female,15.0,8.0
480, ,Straight,No,Metro,Rent,Yes,Female,15.0,5.0
481, ,Straight,No,Metro,Own,Yes,Female,13.0,4.0
482,1,Straight,No,Metro,Own,Yes,Female,17.0,4.0
484, ,,,Metro,Own,Yes,,,4.0
486, ,Something else,No,Metro,Own,Yes,Female,14.0,3.0
487, ,Straight,No,Non-metro,Own,Yes,Male,16.0,10.0
488, ,Straight,No,Metro,Own,Yes,Male,16.0,3.0
489, ,,,Metro,Own,Yes,,,5.0
491, ,,,Metro,Rent,Yes,,,3.0
492, ,,,Metro,Own,No,,,5.0
494, ,Straight,No,Metro,Own,Yes,Female,15.0,3.0
496,1,Not sure,Yes,Non-metro,Rent,Yes,Male,13.0,4.0
497, ,Straight,No,Metro,Rent,Yes,Female,13.0,4.0
498,2,Straight,No,Metro,Own,Yes,Male,16.0,3.0
499, ,Not sure,,Metro,Rent,Yes,Male,13.0,5.0
500, ,,,Non-metro,Own,No,,,3.0
501, ,,,Non-metro,Own,Yes,,,4.0
502, ,,,Metro,Own,Yes,,,4.0
503, ,Straight,No,Metro,Own,Yes,Female,17.0,5.0
504, ,Straight,No,Metro,Own,Yes,Female,15.0,4.0
505, ,Straight,No,Non-metro,Rent,Yes,Male,15.0,3.0
506,2,Straight,No,Metro,Own,Yes,Male,16.0,4.0
508,2,Straight,No,Metro,Own,Yes,Male,16.0,4.0
509, ,Straight,No,Non-metro,Own,Yes,Female,16.0,4.0
510, ,,,Metro,Own,Yes,,,3.0
513, ,Straight,,Metro,Rent,Yes,Female,14.0,4.0
514, ,,,Non-metro,Own,Yes,,,1.0
515, ,Straight,No,Metro,Own,Yes,Female,13.0,4.0
516, ,,,Non-metro,Own,Yes,,,4.0
518, ,Straight,No,Metro,Own,Yes,Female,13.0,3.0
519,2,Straight,No,Non-metro,Own,Yes,Male,16.0,5.0
520, ,Straight,No,Metro,Own,Yes,Female,17.0,8.0
521, ,Straight,No,Metro,Own,Yes,Female,16.0,5.0
523, ,,,Metro,Own,Yes,,,4.0
524,2,Straight,No,Metro,Own,Yes,Female,15.0,5.0
527, ,Straight,No,Metro,Own,Yes,Male,14.0,4.0
528, ,Straight,No,Metro,Rent,Yes,Female,17.0,4.0
531, ,,,Metro,Own,Yes,,,4.0
532, ,Straight,No,Metro,Own,Yes,Male,16.0,4.0
535, ,Straight,No,Metro,Own,Yes,Male,14.0,5.0
537, ,Straight,No,Metro,Rent,No,Male,16.0,3.0
538, ,Straight,No,Metro,Rent,Yes,Male,13.0,5.0
539, ,Straight,No,Non-metro,Own,Yes,Female,17.0,4.0
542, ,,,Metro,Own,Yes,,,5.0
543, ,Straight,No,Non-metro,Own,Yes,Male,13.0,3.0
544, ,Straight,No,Metro,Own,Yes,Male,14.0,5.0
545, ,Straight,No,Metro,Own,Yes,Female,13.0,5.0
546, ,,,Metro,Own,Yes,,,4.0
547, ,,,Metro,Own,Yes,,,4.0
548,2,Straight,No,Metro,Own,Yes,Male,13.0,4.0
549, ,,,Metro,Own,Yes,,,4.0
552,1,Straight,No,Metro,Own,Yes,Female,17.0,4.0
553, ,,,Metro,Own,Yes,,,4.0
554, ,,,Metro,Own,Yes,,,6.0
555, ,Straight,No,Metro,Own,Yes,Female,16.0,4.0
556, ,Straight,No,Metro,Own,Yes,Female,16.0,3.0
558, ,Straight,No,Metro,Own,Yes,Male,17.0,5.0
560, ,Straight,No,Metro,Rent,Yes,Male,15.0,2.0
565,2,Straight,No,Metro,Own,Yes,Female,17.0,5.0
566, ,Straight,No,Non-metro,Own,No,Female,16.0,3.0
567, ,,,Metro,Own,Yes,,,5.0
568, ,Straight,No,Metro,Own,Yes,Male,14.0,6.0
569, ,Straight,No,Metro,Own,Yes,Female,13.0,4.0
570, ,Straight,No,Metro,Own,Yes,Female,13.0,5.0
571, ,,,Metro,Own,Yes,,,4.0
573,2,Straight,No,Metro,Rent,Yes,Female,16.0,6.0
574, ,,,Non-metro,Own,Yes,,,4.0
575, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
576, ,,,Metro,Rent,Yes,,,5.0
577, ,Bisexual,Yes,Metro,Rent,Yes,Female,16.0,3.0
578, ,Straight,No,Metro,Own,Yes,Female,13.0,5.0
579,2,Straight,No,Non-metro,Own,Yes,Male,14.0,4.0
581, ,,,Metro,Own,Yes,,,4.0
582, ,,,Non-metro,Own,Yes,,,3.0
583,2,Straight,No,Non-metro,Own,Yes,Female,17.0,4.0
584, ,Straight,No,Metro,Rent,Yes,Female,14.0,6.0
585, ,Straight,No,Metro,Own,Yes,Male,14.0,3.0
586, ,,,Metro,Rent,Yes,,,5.0
588, ,Straight,No,Non-metro,Own,Yes,Male,17.0,6.0
589,2,Straight,No,Metro,Rent,Yes,Male,14.0,5.0
592, ,,,Metro,Own,Yes,,,3.0
595, ,Straight,No,Metro,Rent,Yes,Male,17.0,3.0
597, ,,,Metro,Rent,Yes,,,4.0
598,2,Straight,No,Metro,Own,Yes,Female,14.0,4.0
599,2,Straight,No,Metro,Own,Yes,Male,16.0,4.0
600, ,,,Non-metro,Rent,Yes,,,3.0
602, ,Straight,No,Metro,Rent,Yes,Female,13.0,7.0
604,2,Straight,No,Metro,Rent,Yes,Female,17.0,2.0
605, ,Straight,No,Metro,Own,Yes,Female,14.0,6.0
606, ,Straight,No,Metro,Own,No,Female,13.0,3.0
607, ,,,Metro,Own,Yes,,,4.0
609,1,Straight,No,Non-metro,Own,Yes,Female,17.0,3.0
