ID,accbu_text,accbu_inperson,accbu_phone,accbu_sm,accbu_friend,accbu_smstatus,bu_phone,bu_inperson,bu_text,bu_sm,bu_email,bu_fbstatus,bu_smstatus,bu_image,bu_drift,bu_other,bu_never,dump_phone,dump_inperson,dump_text,Sex,Sexuality,Transgender,Child_Age,Child_Gen,Parent_Metro,Parent_Rent,Household_Size,Parent_Internet,Sexuality2,Child_Gen2,Transgender2,Parent_Metro2,Parent_Rent2,Parent_Internet2,bu_phone2,bu_inperson2,bu_text2,bu_sm2,bu_email2,bu_fbstatus2,bu_smstatus2,bu_image2,bu_drift2,bu_other2,bu_never2,dump_phone2,dump_inperson2,dump_text2
733,1.0,10.0,1.0,1.0,5.0,1.0, , , , , , , , , , , , , , , ,2,4,17.0,2,1.0,2.0,7.0,1.0,Straight,Female,No,Metro,Rent,Yes,,,,,,,,,,,,,,
734,1.0,10.0,10.0,6.0,2.0,7.0, , , , , , , , , , , , , , , ,2,4,15.0,1,1.0,1.0,4.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
735,1.0,10.0,3.0,1.0,5.0,1.0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,4,13.0,1,0.0,1.0,5.0,1.0,Straight,Male,No,Non-metro,Own,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes
736,1.0,10.0,7.0,3.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,4,13.0,2,1.0,2.0,2.0,1.0,Straight,Female,No,Metro,Rent,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
737,5.0,10.0,5.0,1.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,2,4,17.0,2,0.0,2.0,3.0,1.0,Straight,Female,No,Non-metro,Rent,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
738,1.0,1.0,1.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,15.0,1,1.0,1.0,4.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
739,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,1.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
740,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,2.0,4.0,1.0,,,,Metro,Rent,Yes,,,,,,,,,,,,,,
741,,,,,,, , , , , , , , , , , , , , , , , ,, ,0.0,2.0,4.0,1.0,,,,Non-metro,Rent,Yes,,,,,,,,,,,,,,
743,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
744,1.0,10.0,1.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,14.0,2,0.0,1.0,3.0,1.0,Straight,Female,No,Non-metro,Own,Yes,,,,,,,,,,,,,,
746,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
747,1.0,10.0,8.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,16.0,2,0.0,1.0,3.0,1.0,Straight,Female,No,Non-metro,Own,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
748,,,,,,, , , , , , , , , , , , , , , , , ,15.0,1,1.0,1.0,3.0,1.0,,Male,,Metro,Own,Yes,,,,,,,,,,,,,,
749,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,7.0,0.0,,,,Metro,Own,No,,,,,,,,,,,,,,
751,8.0,10.0,9.0,6.0,7.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,14.0,2,1.0,1.0,4.0,1.0,Straight,Female,No,Metro,Own,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
