CaseID,hear_frequency,hear_from_you_frequency,sm_feel_connected,sm_feel_closer,sm_feel_jealous,sm_show_care,sm_different,sm_authentic,sm_escape,sm_too_many,sm_support_rel_end,sm_track,sm_post_support,sm_post_affection,sm_findout_upset,closer_text,argument_resolve_text,sig_other_distracted_phone,text_while_together,breakup_text,breakup_inperson,breakup_phone,breakup_sm_message,breakup_friend,breakup_sm_status,brokenup_phonecall,brokenup_inperson,brokenup_text,brokenup_sm,brokenup_email,brokenup_fb_status,brokenup_sm_status,brokenup_image_post,brokenup_drift,brokenup_other,brokenup_never,beendumped_phone,beendumped_inperson,beendumped_text,beendumped_sm,beendumped_email,beendumped_fb_status,beendumped_sm_status,beendumped_image_post,beendumped_drift,beendumped_other,beendumped_never,large_num_texts,texts_pretending,accessed_mobile,modified_sm,sent_pictures_others,tracked_unknowing,blocked_ex,blocked_flirt,untagged_ex,removed_ex_number,blocked_ex_text,sig_other_checked_internet,sig_other_read_texts,sig_other_remove_ex,sig_other_put_down,sig_other_demand_pw,sig_other_harass_internet,sig_other_internet_sexually,sig_other_rumors_internet,sig_other_threaten_internet
83, , , , , , , , , , , , , , , , , , , ,4,10,9,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
84, , , , , , , , , , , , , , , , , , , ,7,9,9,7,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
85, , , , , , , , , , , , , , , , , , , ,8,8,8,5,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
88, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
89, , , , , , , , , , , , , , , , , , , ,3,10,5,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
90, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
91,1,1,3,3,3,3,4,3,4,1,2,2,2,1,2,1,2,2,2,1,10,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3
92,3,2,3,3,3,3,3,3,4,3,3,2,1,2,2,1,2,2,1,7,10,9,1,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3
95,2,2,2,2,2,3,2,2,1,2,4,1,2,1,1,1,1,2,1,3,8,5,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,2,2,2,2,2,1,1,1,2,2,3,1,3,2,3,3,3,2,3
97,2,2,1,2,2,1,2,2,3,2,2,2,1,2,2,1,1,2,2,4,10,6,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,1,2,1,1,3,2,3,3,3,3,3
98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
101,-1,1,3,3,3,3,4,3,4,3,3,2,2,1,2,2,2,2,2,3,10,5,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,3,3,3,3,3
102,1,1,2,1,2,1,1,2,2,3,2,1,1,1,1,1,1,1,2,5,8,9,9,8,3,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1
104,3,3,2,3,3,2,2,1,2,1,3,2,1,2,2,2,2,1,2,1,10,9,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,2,2,2,2,1,1,1,2,2,3,3,3,3,3,3,3,3,3
105, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
106, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
107, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
108, , , , , , , , , , , , , , , , , , , ,1,10,7,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
110, , , , , , , , , , , , , , , , , , , ,4,10,3,1,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
111, , , , , , , , , , , , , , , , , , , ,2,9,5,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
112, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
116, , , , , , , , , , , , , , , , , , , ,1,10,7,1,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
117,2,1,3,3,3,3,2,2,3,3,2,2,2,2,2,2,1,2,1,9,10,7,5,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
118, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
119, , , , , , , , , , , , , , , , , , , ,3,9,3,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
120, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
121,2,2,3,2,3,2,3,3,3,3,2,2,1,1,2,1,1,1,1,1,10,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3
122, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
123, , , , , , , , , , , , , , , , , , , ,2,9,5,2,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
124, , , , , , , , , , , , , , , , , , , ,6,10,8,5,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
